-89,162,-2.97
7,160,-2.68
114,160,-2.65
126,162,-2.91
10,160,-2.48
-119,162,-2.5
-131,164,-2.71
-23,162,-2.92
94,160,-2.53
121,162,-2.75
48,162,-2.54
-53,160,-3.03
-112,162,-2.9
-87,162,-2.81
13,160,-3.19
117,162,-3.15
122,162,-2.85
8,160,-3.15
-118,162,-3.41
-133,164,-3.43
-24,162,-3.44
101,162,-3.8
129,164,-3.6
44,162,-3.54
-68,160,-3.69
-116,162,-3.55
-74,162,-3.7
23,160,-3.66
114,162,-3.47
115,162,-3.64
4,160,-3.32
-121,162,-3.49
-132,164,-3.46
-19,162,-3.18
108,162,-3.4
132,164,-3.29
36,162,-3.29
-82,162,-3.13
-118,162,-2.96
-60,162,-3.09
35,160,-2.9
109,162,-2.9
104,162,-3.08
0,160,-3.14
-119,162,-3.16
-129,162,-2.92
-15,162,-3.02
112,162,-3.24
134,164,-2.96
31,162,-3.08
-92,162,-3.01
-122,162,-2.74
-51,162,-2.93
46,160,-2.89
109,162,-3.07
94,162,-3
-6,160,-2.95
-117,160,-3.27
-126,162,-3.06
-12,160,-3.17
115,162,-3.02
135,164,-3.22
28,162,-2.79
-98,162,-3.07
-124,164,-3.06
-46,162,-3.01
54,160,-2.65
111,162,-2.95
89,162,-2.94
-12,160,-3
-117,162,-3.07
-121,162,-2.96
-9,162,-2.88
116,162,-2.77
134,164,-2.63
25,162,-2.76
-100,162,-2.84
-124,164,-2.47
-43,162,-2.52
57,162,-2.71
111,162,-2.72
84,162,-2.92
-16,160,-2.86
-115,162,-2.75
-118,162,-2.95
-9,160,-2.9
118,162,-2.85
138,164,-2.96
23,162,-3.16
-110,162,-2.79
-130,164,-3
-36,162,-2.71
73,162,-2.94
114,162,-3.05
69,162,-2.99
-27,160,-3.23
-111,162,-2.9
-109,162,-2.74
-4,160,-3.02
117,162,-3.2
135,162,-2.85
18,162,-3.02
-114,162,-2.98
-133,164,-3.15
-30,162,-2.75
85,162,-2.76
116,162,-2.85
57,162,-2.75
-37,160,-3.02
-109,162,-2.47
-101,162,-2.94
0,160,-2.65
119,162,-2.89
132,162,-3.02
13,160,-2.99
-118,162,-2.74
-134,164,-2.96
-26,162,-3.15
95,162,-3.09
123,164,-3.49
48,162,-3.4
-54,160,-3.14
-110,162,-3.11
-87,162,-3.17
10,160,-3.06
115,162,-2.97
125,162,-3.17
9,162,-3.32
-120,162,-3.17
-133,164,-2.77
-22,162,-3.28
101,162,-2.98
126,164,-3.07
43,162,-3.03
-63,162,-3.28
-112,162,-3.11
-78,162,-2.94
17,160,-3.02
113,162,-3.04
119,162,-3.33
6,162,-2.85
-120,162,-2.76
-131,164,-3.23
-18,162,-3.04
102,162,-3.3
124,164,-3.1
40,162,-3.13
-66,162,-2.77
-113,162,-3.04
-74,162,-3.26
20,160,-3.25
112,162,-3.23
117,162,-3.23
6,160,-3.21
-121,162,-3.2
-133,164,-3.18
-19,162,-3.23
106,162,-3.25
130,164,-2.98
40,162,-2.86
-76,162,-2.59
-119,162,-2.98
-67,162,-2.4
31,160,-2.33
112,162,-2.64
108,162,-2.83
1,160,-2.72
